2020-12-07 01:09:29,969    A4  41
2020-12-07 01:09:30,169    A0  180
2020-12-07 01:09:30,370    A1  18
2020-12-07 01:09:30,571    A2  97
2020-12-07 01:09:30,771    A3  16
2020-12-07 01:09:30,972    A4  43
2020-12-07 01:09:31,173    A0  180
2020-12-07 01:09:31,374    A1  19
2020-12-07 01:09:31,574    A2  98
2020-12-07 01:09:31,775    A3  17
2020-12-07 01:09:31,976    A4  43
2020-12-07 01:09:32,176    A0  180
2020-12-07 01:09:32,377    A1  43
2020-12-07 01:09:32,578    A2  99
2020-12-07 01:09:32,778    A3  17
2020-12-07 01:09:32,979    A4  44
2020-12-07 01:09:33,180    A0  10
2020-12-07 01:09:33,380    A1  47
2020-12-07 01:09:33,581    A2  90
2020-12-07 01:09:33,782    A3  16
2020-12-07 01:09:33,982    A4  45
2020-12-07 01:09:34,183    A0  16
2020-12-07 01:09:34,384    A1  183
2020-12-07 01:09:34,584    A2  85
2020-12-07 01:09:34,785    A3  15
2020-12-07 01:09:34,986    A4  46
2020-12-07 01:09:35,186    A0  16
2020-12-07 01:09:35,387    A1  181
2020-12-07 01:09:35,588    A2  102
2020-12-07 01:09:35,788    A3  16
2020-12-07 01:09:35,989    A4  40
2020-12-07 01:09:36,190    A0  20
2020-12-07 01:09:36,390    A1  184
2020-12-07 01:09:36,591    A2  117
2020-12-07 01:09:36,792    A3  19
2020-12-07 01:09:36,992    A4  47
2020-12-07 01:09:37,193    A0  21
2020-12-07 01:09:37,394    A1  183
2020-12-07 01:09:37,594    A2  119
2020-12-07 01:09:37,795    A3  20
2020-12-07 01:09:37,996    A4  47
2020-12-07 01:09:38,196    A0  21
2020-12-07 01:09:38,397    A1  184
2020-12-07 01:09:38,598    A2  121
2020-12-07 01:09:38,799    A3  20
2020-12-07 01:09:38,999    A4  48
2020-12-07 01:09:39,200    A0  20
2020-12-07 01:09:39,401    A1  183
2020-12-07 01:09:39,601    A2  121
2020-12-07 01:09:39,802    A3  21
2020-12-07 01:09:40,003    A4  50
2020-12-07 01:09:40,203    A0  0
2020-12-07 01:09:40,404    A1  172
2020-12-07 01:09:40,605    A2  0
2020-12-07 01:09:40,805    A3  0
2020-12-07 01:09:41,006    A4  0
2020-12-07 01:09:41,207    A0  0
2020-12-07 01:09:41,407    A1  0
2020-12-07 01:09:41,608    A2  22
2020-12-07 01:09:41,809    A3  31
2020-12-07 01:09:42,009    A4  0
2020-12-07 01:09:42,210    A0  0
2020-12-07 01:09:42,411    A1  0
2020-12-07 01:09:42,611    A2  0
2020-12-07 01:09:42,812    A3  0
2020-12-07 01:09:43,013    A4  0
2020-12-07 01:09:43,213    A0  0
2020-12-07 01:09:43,414    A1  0
2020-12-07 01:09:43,615    A2  0
2020-12-07 01:09:43,815    A3  0
2020-12-07 01:09:44,016    A4  0
2020-12-07 01:09:44,217    A0  0
2020-12-07 01:09:44,417    A1  0
2020-12-07 01:09:44,618    A2  0
2020-12-07 01:09:44,819    A3  0
2020-12-07 01:09:45,019    A4  0
2020-12-07 01:09:45,220    A0  0
2020-12-07 01:09:45,421    A1  0
2020-12-07 01:09:45,621    A2  0
2020-12-07 01:09:45,822    A3  0
2020-12-07 01:09:46,023    A4  0
2020-12-07 01:09:46,223    A0  0
2020-12-07 01:09:46,424    A1  0
2020-12-07 01:09:46,625    A2  0
2020-12-07 01:09:46,826    A3  0
2020-12-07 01:09:47,026    A4  0
