Date,Time,Sid,value
2020-07-28,"12:24:07,074",A1,0.0
2020-07-28,"12:24:07,082",A2,0.0
2020-07-28,"12:24:07,090",A3,0.0
2020-07-28,"12:24:07,094",A4,0.0
2020-07-28,"12:24:08,069",A0,0.0
2020-07-28,"12:24:08,077",A1,0.0
2020-07-28,"12:24:08,082",A2,0.0
2020-07-28,"12:24:08,090",A3,0.0
2020-07-28,"12:24:08,098",A4,0.0
2020-07-28,"12:24:09,073",A0,0.0
2020-07-28,"12:24:09,077",A1,0.0
2020-07-28,"12:24:09,085",A2,0.0
2020-07-28,"12:24:09,093",A3,0.0
2020-07-28,"12:24:09,101",A4,0.0
2020-07-28,"12:24:10,072",A0,0.0
2020-07-28,"12:24:10,080",A1,0.0
2020-07-28,"12:24:10,088",A2,0.0
2020-07-28,"12:24:10,097",A3,0.0
2020-07-28,"12:24:10,101",A4,0.0
2020-07-28,"12:24:11,075",A0,0.0
2020-07-28,"12:24:11,084",A1,0.0
2020-07-28,"12:24:11,088",A2,0.0
2020-07-28,"12:24:11,096",A3,0.0
2020-07-28,"12:24:11,104",A4,0.0
2020-07-28,"12:24:12,075",A0,0.0
2020-07-28,"12:24:12,083",A1,0.0
2020-07-28,"12:24:12,091",A2,0.0
2020-07-28,"12:24:12,099",A3,0.0
2020-07-28,"12:24:12,108",A4,0.0
2020-07-28,"12:24:13,078",A0,0.0
2020-07-28,"12:24:13,087",A1,0.0
2020-07-28,"12:24:13,095",A2,0.0
2020-07-28,"12:24:13,099",A3,0.0
2020-07-28,"12:24:13,107",A4,0.0
2020-07-28,"12:24:14,082",A0,0.0
2020-07-28,"12:24:14,090",A1,0.0
2020-07-28,"12:24:14,094",A2,0.0
2020-07-28,"12:24:14,102",A3,0.0
2020-07-28,"12:24:14,110",A4,0.0
2020-07-28,"12:24:15,081",A0,0.0
2020-07-28,"12:24:15,089",A1,0.0
2020-07-28,"12:24:15,098",A2,0.0
2020-07-28,"12:24:15,106",A3,0.0
2020-07-28,"12:24:15,114",A4,0.0
2020-07-28,"12:24:16,085",A0,0.0
2020-07-28,"12:24:16,093",A1,0.0
2020-07-28,"12:24:16,101",A2,0.0
2020-07-28,"12:24:16,105",A3,0.0
2020-07-28,"12:24:16,113",A4,0.0
2020-07-28,"12:24:17,088",A0,0.0
2020-07-28,"12:24:17,092",A1,0.0
2020-07-28,"12:24:17,100",A2,0.0
2020-07-28,"12:24:17,109",A3,0.0
2020-07-28,"12:24:17,117",A4,0.0
2020-07-28,"12:24:18,088",A0,0.0
2020-07-28,"12:24:18,096",A1,0.0
2020-07-28,"12:24:18,104",A2,0.0
2020-07-28,"12:24:18,112",A3,0.0
2020-07-28,"12:24:18,116",A4,0.0
2020-07-28,"12:24:19,091",A0,0.0
2020-07-28,"12:24:19,099",A1,0.0
2020-07-28,"12:24:19,107",A2,0.0
2020-07-28,"12:24:19,111",A3,0.0
2020-07-28,"12:24:19,119",A4,0.0
2020-07-28,"12:24:20,094",A0,0.0
2020-07-28,"12:24:20,099",A1,0.0
2020-07-28,"12:24:20,107",A2,0.0
2020-07-28,"12:24:20,115",A3,0.0
2020-07-28,"12:24:20,123",A4,0.0
2020-07-28,"12:24:21,094",A0,0.0
2020-07-28,"12:24:21,102",A1,0.0
2020-07-28,"12:24:21,110",A2,0.0
2020-07-28,"12:24:21,118",A3,0.0
2020-07-28,"12:24:21,122",A4,0.0
2020-07-28,"12:24:22,097",A0,0.0
2020-07-28,"12:24:22,105",A1,0.0
2020-07-28,"12:24:22,110",A2,0.0
2020-07-28,"12:24:22,118",A3,0.0
2020-07-28,"12:24:22,126",A4,0.0
2020-07-28,"12:24:23,101",A0,0.0
2020-07-28,"12:24:23,105",A1,0.0
2020-07-28,"12:24:23,113",A2,0.0
2020-07-28,"12:24:23,121",A3,0.0
